blocktime,slot,signature,signer,token_in_name,token_in_amt,token_out_name,token_out_amt,action,auth_acc,obligation_acc,market
1642148104,116186325,3rCgEDswr64QSXDVyaTmVe2veyxuk6Hwk5GFwCjqcunr7xWeGwGqGVNLR8SDXddAkgcXvuUdMxRePWe5TT6he5oa,EHhMczRNaoiiB2BrxHbCvJxzk998a12m8gApmMvjsuHE,USDT,150000.063446,,,WithdrawObligationCollateralAndRedeemReserveCollateral,EHhMczRNaoiiB2BrxHbCvJxzk998a12m8gApmMvjsuHE,GZF38Hko5SXx2cpGD9w6Z5CVNqbH7phVt9nMNnQfUmza,main
1642157457,116202689,5HHh61TRPovvLJigAxJKUGp8GH2T7rqQfjFNCXpn6mvUpH79HYcD4UZSrztVYtEmAhdPmjM5mfJc2nDLqEqV7N1e,6pSy47zw325ijgGZma35EBfCToUBUEQQFzeVVmZyNxeo,RAY,40.122893,,,WithdrawObligationCollateralAndRedeemReserveCollateral,6pSy47zw325ijgGZma35EBfCToUBUEQQFzeVVmZyNxeo,CPmrLFJzwp88BDLPk68fdsvfyxzcYXxyqkwPQekifAx3,main
1642153971,116196665,4VLdVbrRNRQhK7fmG7wQ8pZuM1yTVMQCurwqrgT4cbVaZ6ZRbByPtyDXxFciDEPVYrHxF3mRpHciheHCHjL8BfQa,FAdyqnV74c3BdG4DChWFSRh3wvwkQ67swyA88FQpubH5,USDT,200.000044,,,WithdrawObligationCollateralAndRedeemReserveCollateral,FAdyqnV74c3BdG4DChWFSRh3wvwkQ67swyA88FQpubH5,4vn2uVjvsKByZyoGKcreDHUvHsMTCwPfUxkxHVbMhLmz,main
1642197515,116268267,4Hrd4C7RT6FHZK8rCJCyex1imtkc8UitSsJ7ozajnyEtVyrrtpW5PWg387JpoGNfL3NL5Cz2XoMyHfhY7M5a4cr2,7pRoqrNdzc3NrVC6qLhMatv8booiYdZDeGZdqUprjCeN,SOL,0.5,,,BorrowObligationLiquidity,,4tLNSaMXi4bGBigweEh5gEkJ5QmKaZoz3Vqt4XHM3sVQ,main
1642119570,116136647,2J4PYXMFcWQVEs3jk1gQfkskZRTDf3VAT2uaxuQJ8xrZFHxZ1gqKkVpyJUj1bmjqkmPqv5hebsibknf6JJHrc2f5,3Vx8ef1hJXtFqMPCbhfD2CB3C1cEWyrL27tu2x3g5zWQ,,,RAY,-6.8794249999999995,DepositReserveLiquidityAndObligationCollateral,3Vx8ef1hJXtFqMPCbhfD2CB3C1cEWyrL27tu2x3g5zWQ,9Gq5oPouU4iMHxkW1ZXZkKBRdbdBMhBx3XybavZx3BD4,main
1642134063,116162429,61tux4vTcFXceoFSEMWAbzycLGKWTXroqi3WWU7A3tXmD2NKj2aRaqiLV9kW4ax6CA3BzvaUy9FbbbdGi5KTbM7r,EoSF2yWPhu4Dc4ULqpTj3tgVEfBxt9F43YdAAHrWueet,,,mSOL,-1.9472404200000002,DepositReserveLiquidityAndObligationCollateral,EoSF2yWPhu4Dc4ULqpTj3tgVEfBxt9F43YdAAHrWueet,EEjJ1hD9dUbabTidtyqNEeKnRVd5io7hWEhTJpMz7oSH,main
1642150892,116191226,3FNyNucw7q39nx9wVeh59pedFAgiTkgxgWGa1Qu3TspUPmdnWGCa39ynEa2dvhD5GNoZfoWLreUoJGTnbL6rEMFG,DrrB1p8sxhwBZ3cXE8u5t2GxqEcTNuwAm7RcrQ8Yqjod,USDC,915.070895,,,WithdrawObligationCollateralAndRedeemReserveCollateral,Ei2QBdJNvfeX3ZEsUYT7pFaV2Hxn2YkiH4ehErCdc35P,6AeBG2DCptsh4UmT2mvd2MgNwnajqv9mi8HRJzh6yfj1,main
1642125567,116147266,2iBprBfb4pBMr5edjNzFiFT8WKSc1W1SRriDe1eayQ5bdbrg7Z182cHKH5wPq7rAsUFR9jw5dwjgsRxYYsU4juhA,3K9yVWU1sJugMc5mzkxaMwLrhc82Rx5yHqqj3fcKxpND,RAY,20.000009,,,WithdrawObligationCollateralAndRedeemReserveCollateral,3K9yVWU1sJugMc5mzkxaMwLrhc82Rx5yHqqj3fcKxpND,BKYnnHYuzXF8vWmtHAPfpqmXrK4JSKvTbaS7Ce4oQ9EL,main
1642126250,116148507,Gs9scn3wj8BXV3GVJNYH9wVNN4LGM6JiFZNHh5X1GBShGqSo7oJ1MivZe2JAMefW4UGUmCb1Z7W3YD1vFZRZJzy,GowEnZV5DGhYRR3Q3ZyhLwCZAUnQqcHoxcqho8D5C5QD,USDT,6995.629489999999,,,WithdrawObligationCollateralAndRedeemReserveCollateral,GowEnZV5DGhYRR3Q3ZyhLwCZAUnQqcHoxcqho8D5C5QD,55NiScwtPAeoMRAa2U3iQGSCvu4B5MwSaoCLj78M8hwz,main
1642124351,116145069,2cCPmQbCjt3zF3uUxfP12nm49QLTkM6dMfQENbsa6n3LUZpckq63UbqsZfMJhfTwUZmPAigjTP3AgmJbqp696yP6,6DMqhovtJzz96fLYV8wc3ci8wpxX9uJbJ5GizSsbqZkp,RAY,1000.0,,,BorrowObligationLiquidity,,Ei8cf2pxjgagGGkCDPLGtm5cBXnaiKp4HJVftb2eJAUr,main
