blocktime,slot,signature,signer,token_in_name,token_in_amt,token_out_name,token_out_amt,collat_change_token_name,collat_change_amt,action,auth_acc,obligation_acc,market
1636504837,106102192,5tsK9M3nDFvVVLYH6WCy8JtDCXCTLFCsH4QnnS21fQZZZwXKqa68fGHCwwpCiSJdZSNxPtaWUQktZCPhn5b1YBcS,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,soFTT,107.00984899999999,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636504971,106102432,2huSJE5WXe63hAFxs1BAo8MbY5tZvDaJVGy3wHZUk85mWVCUn9Gd5nCsjrB51gziXbSwJ77myJznDao8bpMiXdC2,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,USDT,-129.952195,,,RepayObligationLiquidity,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636505076,106102639,2d3YdHHT9hoSMrWRbVcPgGasy6g8fggz1QGkYEGXcWN57fZQ2tUi8nzXTJXJMdL1PLDqurntkC2MokgwSQoTuToq,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,USDT,-56.339954,cUSDT,55.584824999999995,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636505392,106103217,59rQDiLYoT8fKHaHxJUeZUj1Lo64KtoYBKLLjPKUxGKxJmEbwCSBLowkkPftqSYkH1QhqCD84pdHUzn96Kn6qRyG,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,BTC,-0.094771,,,RepayObligationLiquidity,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636505865,106104144,4UNW9tVjAsHPapqtt16zGMHgCdXFvsPEv2MfiKE2GcrcCbY627FqcpRjuSEFzvnbMpmWM7iYtBKQMe4hJyojVsMt,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,BTC,-0.00010999999999999999,cBTC,0.00010999999999999999,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636505898,106104213,5QRbnQ9CLZu9236mP1miarns3NafZ3MyLre8yGYF9Wsg4z2BVkAPUrVqdzk2UTauRRE6R5wVYnx6wtJF46zVmWEA,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,soETH,-0.010327,csoETH,0.010274,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636506068,106104560,YCQPRX45GejhHmXCcHHDspesCBGw7x31DbezspfUcNr5CaymTNX1w2w4sQd28Z6cMpd6FNoahxmSME4uem1W616,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,soFTT,501.0,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636506176,106104769,yg1EFNmdGCiLbiUpprsS8Qr7qSbk2UNYNBEpjfYupGHGvkw2fCAwqoQPFBcVUmLaxL7t7mgp8JT8fqqBkxLiioY,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,BTC,-0.458676,cBTC,0.457237,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636506540,106105505,46Wnqhy3dabhTvmb7eDtfyvZMGV42i8emKNqK4gnYgp77CBZ9Y2LnBoAeeuepTE5y4LXU8g723rYa1NpfCroswV1,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,soFTT,454.19931599999995,,,,,BorrowObligationLiquidity,,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
1636506814,106106041,5VeYKgRmBN4RYvg5ZFaBtTVXVm7uWbDNMyUfkknnrSFAPJU6AcxJtrNzfZgFLJRVPEWejTnhkQhaiDDbPzUczKro,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,soETH,-5.879167,csoETH,5.8488929999999995,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,HjPNpiA8xXHxy3gGLSacGT765SWzupkRCVfkBNG29SLd,main
