blocktime,slot,signature,signer,token_in_name,token_in_amt,token_out_name,token_out_amt,collat_change_token_name,collat_change_amt,action,auth_acc,obligation_acc,market
1646166865,123050887,4QukQ29simoRCrZmTBKDE5PLUP7boLr7cxs2dJefWMBMKPphC3kPMYvUWQS2jT2eErqeMxwn9fptJsP9uDWw5cXv,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,,,,,InitObligation,,9Wpsxa8VExzaAvHeFNJqXtHT3RoJdcB1g5EDVnwmTGdh,TURBO SOL
1646166865,123050887,4QukQ29simoRCrZmTBKDE5PLUP7boLr7cxs2dJefWMBMKPphC3kPMYvUWQS2jT2eErqeMxwn9fptJsP9uDWw5cXv,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,,,SOL,-5.0,cSOL,4.997246287,DepositReserveLiquidityAndObligationCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,9Wpsxa8VExzaAvHeFNJqXtHT3RoJdcB1g5EDVnwmTGdh,TURBO SOL
1646166920,123050977,3CNQTMR5LcHrU6BxMFNZDMXNqLX1ieyxgCuKUyDpDGXqPoPGZgmAqKYkUMps8DoUCSpj6Uydj1zGEArLr8hqAAvN,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,SOL,5.000000029000001,,,cSOL,-4.997246287,WithdrawObligationCollateralAndRedeemReserveCollateral,9KK19KWbsZVVHZCV6io3upenFrj778pZnhobahWimbj1,9Wpsxa8VExzaAvHeFNJqXtHT3RoJdcB1g5EDVnwmTGdh,TURBO SOL
